,price_doc
0,5097580.9096523095
1,8316486.219749047
2,6086119.762236243
3,5656504.600396134
4,5210281.818404742
5,8640286.760474898
6,4944545.843753041
7,4123122.968302086
8,4641352.699683857
9,5317867.788811219
10,6385280.030455006
11,5068293.144707314
12,3885013.2647414743
13,4638223.824589558
14,5688978.10634176
15,6634211.547810674
16,14717936.598305818
17,17748118.546373185
18,6290395.14858543
19,14375673.068094624
20,7230828.498472833
21,11484517.698319016
22,9640419.06293882
23,10331662.241217282
24,5280959.180818784
25,10808433.642624957
26,10390755.048439344
27,6844859.734717188
28,3189591.232130536
29,7627274.8997252155
30,7579907.765487419
31,12433736.513744261
32,3093246.9532042784
33,4580242.963848371
34,5583436.049512214
35,7791601.108787414
36,9476104.27724954
37,6938758.291186185
38,6947069.137825057
39,4735885.862650001
40,3829577.406146585
41,8863991.932837784
42,6214979.171102379
43,10045647.130375326
44,6806330.922431188
45,5861362.252119594
46,6585765.767780838
47,6188046.5634107655
48,7662326.310703889
49,6534889.462428609
50,10316923.369959526
51,9281723.042477435
52,4782647.806830436
53,5463691.660068309
54,7474456.6688663
55,7798204.187447564
56,6441660.352331557
57,15658941.046132015
58,5065002.872419944
59,11065611.776135545
60,7291392.205466099
61,9348725.013340715
62,6437346.176663866
63,11496800.283015292
64,5142808.04405883
65,9515408.283277862
66,9668797.652717233
67,7846931.269192861
68,2050518.2146147697
69,5515164.451733988
70,8085502.419207249
71,9588978.183637856
72,4478195.944175375
73,9111078.174450627
74,5734645.685799921
75,5400945.731351605
76,12416381.04430987
77,5188516.134723118
78,2127424.7092309413
79,7185260.149639266
80,11372577.603147516
81,7042255.8064028
82,8726387.327900212
83,9592829.147628091
84,10841944.625774171
85,6234713.013839656
86,6149121.152047525
87,7896825.8087685425
88,8522160.698742693
89,4320749.370862287
90,8448943.479566263
91,8535137.399025377
92,8566242.573888531
93,2164198.34883063
94,10573128.432112277
95,10693940.057833342
96,6890190.029977703
97,7184597.337656849
98,4656692.180777262
99,6986315.21502974
100,7208276.4292167695
101,8317449.738955898
102,4380367.34977146
103,5180976.747441356
104,2908462.239975312
105,7858702.215664435
106,5714213.414018163
107,5598020.577111186
108,12687055.17182275
109,7338751.767529582
110,4554390.85593815
111,2962693.773793684
112,8461162.305451116
113,6249805.329506222
114,8940912.16280569
115,8146902.881596785
116,14026949.262554374
117,5569626.523497752
118,7399082.254270966
119,10207978.221707037
120,8448614.389708415
121,5874883.104395228
122,8025556.57236113
123,6976096.0217614565
124,9655402.619231064
125,12204814.520323612
126,5337942.9966649115
127,7072179.033982142
128,2117294.951830216
129,13275279.094489072
130,4882401.863832805
131,7213867.419414664
132,26694462.79313599
133,7620363.202340513
134,8337361.059103554
135,6614327.077461532
136,3074978.3282473283
137,5531820.085264828
138,7812542.514104925
139,7938614.166447534
140,18360124.225360926
141,7826687.170545168
142,6082037.576954918
143,8791981.72827592
144,5772729.949960661
145,4296962.458891748
146,2912939.5212691664
147,8699494.068029653
148,9535680.246290352
149,7192336.542903393
150,6863620.217857481
151,7799679.856995513
152,6830925.954503735
153,9091033.32477307
154,6952645.490876628
155,5247220.487388904
156,4782824.747338449
157,5625220.598591401
158,3808486.086763697
159,6312724.2077402035
160,11317861.219550151
161,9718582.8473216
162,5307618.417915049
163,8912314.206317794
164,5435625.397246826
165,9712461.790642116
166,4637227.166936238
167,9321718.609385839
168,5814968.614745838
169,9137423.726583226
170,9741119.658304889
171,6946186.673452722
172,6162552.065725572
173,4960333.637822717
174,23453453.973935395
175,2668145.9607019243
176,4830976.826908009
177,3135009.2124640294
178,5045367.259254453
179,0.1980497817131637
180,4274838.172208313
181,11378297.76638437
182,4290358.159928052
183,6868430.017951941
184,10333068.18152803
185,5037214.478336579
186,9337893.827407287
187,6051579.727348499
188,9747511.157121249
189,15956543.959125109
190,13301512.099540107
191,6956372.590686787
192,3109280.16037001
193,4357468.610570207
194,7743422.267652021
195,5178574.9452768145
196,3135987.963235805
197,8986449.654691078
198,12153692.789027112
199,11174276.0419964
200,12362777.267640878
201,2106104.3588832146
202,8261156.691182143
203,5829194.144070204
204,16247856.261317607
205,7347183.942291404
206,6142243.205805885
207,2384378.258821663
208,7457175.389965711
209,10287070.851989778
210,5417960.986406188
211,7618117.982490663
212,8903787.779551249
213,5010399.7324406775
214,4272878.436918428
215,11955610.553760026
216,24193856.689949986
217,4854322.397394947
218,7488471.326697396
219,12086004.241285615
220,6542891.247142703
221,7682716.078919606
